S1_S0202,S2_S0202,S3_S0202,S4_S0202,S5_S0202,S6_S0202,S7_S0202,S8_S0202
0.47,1.566,1.135,1.309,1.225,0.164,0.371,0.856
0.471,1.567,1.137,1.308,1.224,0.165,0.371,0.856
0.472,1.569,1.138,1.307,1.224,0.166,0.372,0.856
0.474,1.569,1.14,1.306,1.224,0.166,0.372,0.856
0.474,1.571,1.141,1.305,1.223,0.167,0.373,0.856
0.476,1.571,1.143,1.304,1.223,0.167,0.373,0.857
0.477,1.572,1.144,1.303,1.222,0.168,0.374,0.857
0.478,1.573,1.145,1.302,1.222,0.168,0.374,0.857
0.479,1.574,1.147,1.301,1.222,0.169,0.375,0.858
0.48,1.573,1.148,1.301,1.221,0.17,0.375,0.859
0.481,1.572,1.15,1.302,1.221,0.17,0.375,0.86
0.482,1.571,1.151,1.304,1.221,0.171,0.376,0.861
0.484,1.571,1.153,1.306,1.221,0.171,0.376,0.863
0.485,1.571,1.154,1.309,1.222,0.172,0.377,0.864
0.486,1.572,1.156,1.312,1.223,0.172,0.377,0.867
0.487,1.573,1.157,1.315,1.224,0.173,0.377,0.869
0.488,1.574,1.159,1.319,1.226,0.173,0.378,0.871
0.49,1.575,1.16,1.322,1.228,0.174,0.378,0.874
0.491,1.575,1.161,1.326,1.231,0.174,0.379,0.876
0.492,1.576,1.163,1.33,1.233,0.175,0.379,0.879
0.493,1.578,1.164,1.333,1.236,0.176,0.379,0.882
0.494,1.579,1.166,1.337,1.239,0.176,0.38,0.885
0.495,1.58,1.167,1.341,1.242,0.177,0.38,0.888
0.496,1.582,1.168,1.345,1.246,0.178,0.38,0.891
0.498,1.583,1.17,1.349,1.249,0.178,0.381,0.894
0.499,1.585,1.171,1.353,1.252,0.178,0.381,0.897
0.5,1.587,1.173,1.357,1.256,0.179,0.382,0.9
0.501,1.589,1.174,1.361,1.26,0.18,0.382,0.903
0.502,1.59,1.176,1.365,1.264,0.181,0.383,0.907
0.503,1.592,1.178,1.368,1.267,0.181,0.383,0.91
0.504,1.594,1.179,1.372,1.271,0.182,0.383,0.913
0.505,1.596,1.181,1.376,1.275,0.182,0.384,0.917
0.507,1.598,1.182,1.38,1.279,0.183,0.384,0.92
0.508,1.602,1.185,1.385,1.283,0.184,0.385,0.924
0.509,1.604,1.186,1.389,1.287,0.184,0.385,0.927
0.51,1.607,1.188,1.393,1.291,0.185,0.386,0.93
0.512,1.609,1.189,1.397,1.295,0.186,0.386,0.933
0.513,1.612,1.191,1.401,1.299,0.187,0.386,0.937
0.514,1.615,1.193,1.405,1.303,0.187,0.387,0.94
0.515,1.617,1.194,1.408,1.307,0.188,0.387,0.943
0.516,1.62,1.196,1.412,1.311,0.189,0.388,0.947
0.518,1.623,1.198,1.416,1.315,0.189,0.388,0.95
0.519,1.626,1.199,1.42,1.319,0.19,0.389,0.953
0.52,1.628,1.201,1.423,1.322,0.191,0.389,0.956
0.522,1.631,1.203,1.427,1.326,0.192,0.389,0.96
0.523,1.634,1.204,1.431,1.33,0.192,0.39,0.963
0.524,1.637,1.206,1.434,1.334,0.193,0.39,0.966
0.525,1.64,1.208,1.438,1.338,0.194,0.391,0.969
0.527,1.643,1.21,1.442,1.336,0.194,0.39,0.97
0.527,1.643,1.209,1.443,1.343,0.195,0.391,0.973
0.528,1.645,1.211,1.446,1.346,0.196,0.391,0.976
0.529,1.649,1.212,1.45,1.35,0.196,0.392,0.979
0.531,1.652,1.214,1.453,1.354,0.197,0.392,0.982
