S1_A02,S2_A02,S3_A02,S4_A02,S5_A02,S6_A02,S7_A02,S8_A02
0.535,1.847,0.324,1.716,1.614,0.317,0.672,1.758
0.535,1.847,0.323,1.716,1.614,0.317,0.672,1.758
0.535,1.847,0.324,1.716,1.614,0.317,0.672,1.758
0.535,1.846,0.324,1.715,1.613,0.318,0.672,1.758
0.535,1.847,0.323,1.716,1.614,0.318,0.672,1.758
0.535,1.847,0.324,1.716,1.614,0.318,0.672,1.758
0.535,1.847,0.324,1.716,1.614,0.318,0.672,1.758
0.535,1.847,0.324,1.716,1.614,0.318,0.673,1.758
0.535,1.847,0.323,1.716,1.614,0.318,0.672,1.759
0.535,1.847,0.323,1.716,1.614,0.318,0.672,1.758
0.535,1.847,0.323,1.716,1.614,0.318,0.673,1.758
0.535,1.847,0.324,1.716,1.614,0.318,0.672,1.758
0.535,1.847,0.323,1.716,1.614,0.318,0.673,1.759
0.535,1.847,0.324,1.716,1.614,0.317,0.673,1.759
0.535,1.847,0.324,1.716,1.614,0.318,0.673,1.758
0.535,1.847,0.323,1.716,1.614,0.318,0.673,1.758
0.535,1.847,0.324,1.716,1.614,0.318,0.673,1.759
0.535,1.847,0.323,1.716,1.614,0.318,0.673,1.759
0.535,1.847,0.323,1.716,1.614,0.318,0.673,1.759
0.535,1.847,0.324,1.716,1.614,0.318,0.673,1.759
0.535,1.847,0.323,1.716,1.614,0.318,0.673,1.759
0.535,1.847,0.324,1.716,1.614,0.318,0.673,1.759
0.535,1.847,0.323,1.716,1.614,0.318,0.673,1.759
0.535,1.847,0.324,1.716,1.614,0.318,0.673,1.759
0.535,1.847,0.323,1.716,1.614,0.318,0.673,1.759
0.536,1.847,0.323,1.716,1.614,0.318,0.673,1.759
0.536,1.847,0.323,1.716,1.614,0.318,0.673,1.759
